id;start_date;end_date;language
1;2021-03-04T01:46:53;2021-03-03T23:37:08;SPANISH
2;2021-03-03T06:37:04;2021-03-04T01:41:29;SPANISH
3;2021-03-03T21:32:23;2021-03-03T08:06:32;FRENCH
4;2021-03-03T12:49:54;2021-03-04T00:21:20;FRENCH
5;2021-03-03T22:20:12;2021-03-04T03:07:11;FRENCH
6;2021-03-03T16:12:33;2021-03-04T04:20:47;FRENCH
7;2021-03-03T17:57:53;2021-03-03T11:48:44;FRENCH
8;2021-03-03T16:54:06;2021-03-04T03:10:14;SPANISH
9;2021-03-03T15:35:15;2021-03-03T12:16:38;SPANISH
10;2021-03-03T23:47:19;2021-03-03T10:21:49;SPANISH
